ID	HTTP	VERDICT	SNIPPET
A1	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781105201,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"Hello."},...
A2	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781105203,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"","tool_c...
A3	200	PASS	data: {"id":"chatcmpl-OAW8dafjZCUFJ45AgLFDzca1","object":"chat.completion.chunk","created":1781105476,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"delta":{"role":"assista...
A4	200	PASS	data: {"id":"chatcmpl-DSBfBmfqgVV8e1Ea1wdubAwK","object":"chat.completion.chunk","created":1781105209,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"delta":{"role":"assista...
A5	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781105212,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"Hello"},"...
B1	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781105216,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"","tool_c...
B2	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781105220,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"","tool_c...
B3	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781105224,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"I can hel...
B4	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781105227,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"","tool_c...
B5	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781105231,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"","tool_c...
B6	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781105239,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"","tool_c...
B7	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781105248,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"I'd be ha...
B8	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781105251,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"","tool_c...
C1	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781105255,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"Hello! Ho...
C2	400	ERROR_400	{"error":"Invalid request: unsupported image url: https://example.com/x.png"}
C3	400	ERROR_400	{"error":"text content is empty"}
C4	400	ERROR_400	{"error":"the message at position 0 with role 'user' must not be empty"}
D1	400	ERROR_400	{"error":"the message at position 0 with role 'system' must not be empty"}
D2	400	ERROR_400	{"error":"Invalid request: tokenization failed"}
D3	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781105265,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"IΓÇÖd be ha...
D4	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781105269,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"I see you...
E1	200	PASS	{"id":"chatcmpl-XCa4mbG0cWWjaGTwDJP33oB1","object":"response","created_at":1781105272,"status":"completed","model":"moonshot/kimi-k2.6","output":[{"type":"message","id":"msg_cha...
E2	200	PASS	{"id":"chatcmpl-dR93LFoD9phP9khiJxrOtYP4","object":"response","created_at":1781105276,"status":"completed","model":"moonshot/kimi-k2.6","output":[{"type":"message","id":"msg_cha...
E3	400	BRIDGE_VALIDATION	{"error":"responses input messages must include string role and content fields"}
E4	400	BRIDGE_VALIDATION	{"error":"responses input messages must include string role and content fields"}
E5	400	BRIDGE_VALIDATION	{"error":"responses input messages must include string role and content fields"}
F1	400	BRIDGE_VALIDATION	{"error":"chat-completions request must include a string model"}
F2	400	BRIDGE_VALIDATION	{"error":"chat-completions request must include a messages array"}
F3	400	ERROR_400	{"error":"messages must not be empty"}
F4	400	BRIDGE_VALIDATION	{"error":"Only OpenAI function tools are supported by the runtime host bridge."}
F5	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781105279,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":""},"finis...
F6	400	ROUTING_ERROR	{"error":"No registry endpoints are available for requested model does-not-exist."}
G3	200	PASS	data: {"id":"chatcmpl-kBfdIFAwdNQikcBozVtxEBYv","object":"chat.completion.chunk","created":1781105282,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"delta":{"role":"assista...

# G1 sequence: A2 (first turn) + B1 (follow-up) ΓÇö see A2 and B1 rows

# Summary: 33 cases, 0 BRIDGE_CRASH, 20 PASS
