ID	HTTP	VERDICT	SNIPPET
A1	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781145388,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"Hello"},"...
A2	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781145392,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"","tool_c...
A3	200	PASS	data: {"id":"chatcmpl-voZO0z2CwAgk06JNkyIyp5I3","object":"chat.completion.chunk","created":1781145394,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"delta":{"role":"assista...
A4	200	PASS	data: {"id":"chatcmpl-3dmN10Lz1X7lJxj12LJGC8FA","object":"chat.completion.chunk","created":1781145397,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"delta":{"role":"assista...
A5	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781145401,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"Hello"},"...
B1	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781145408,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"Cloudflar...
B2	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781145412,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"","tool_c...
B3	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781145418,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"Could you...
B4	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781145420,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"","tool_c...
B5	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781145422,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"","tool_c...
B6	0	UNKNOWN	timed out
B7	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781145471,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"IΓÇÖd be ha...
B8	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781145475,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"","tool_c...
C1	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781145492,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"Hello! It...
C2	400	ERROR_400	{"error":"Invalid request: unsupported image url: https://example.com/x.png"}
C3	400	ERROR_400	{"error":"text content is empty"}
C4	400	ERROR_400	{"error":"the message at position 0 with role 'user' must not be empty"}
D1	400	ERROR_400	{"error":"the message at position 0 with role 'system' must not be empty"}
D2	400	ERROR_400	{"error":"Invalid request: tokenization failed"}
D3	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781145507,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"I don't s...
D4	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781145512,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":"What woul...
E1	200	PASS	{"id":"chatcmpl-QyNbjpLkhaUbtRCLYhu3I8cH","object":"response","created_at":1781145515,"status":"completed","model":"moonshot/kimi-k2.6","output":[{"type":"message","id":"msg_cha...
E2	200	PASS	{"id":"chatcmpl-s1pXCDm9j4nT8qezUIoL8f3G","object":"response","created_at":1781145517,"status":"completed","model":"moonshot/kimi-k2.6","output":[{"type":"message","id":"msg_cha...
E3	400	BRIDGE_VALIDATION	{"error":"responses input messages must include string role and content fields"}
E4	400	BRIDGE_VALIDATION	{"error":"responses input messages must include string role and content fields"}
E5	400	BRIDGE_VALIDATION	{"error":"responses input messages must include string role and content fields"}
F1	400	BRIDGE_VALIDATION	{"error":"chat-completions request must include a string model"}
F2	400	BRIDGE_VALIDATION	{"error":"chat-completions request must include a messages array"}
F3	400	ERROR_400	{"error":"messages must not be empty"}
F4	400	BRIDGE_VALIDATION	{"error":"Only OpenAI function tools are supported by the runtime host bridge."}
F5	200	PASS	{"id":"chatcmpl-role-model","object":"chat.completion","created":1781145519,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"message":{"role":"assistant","content":""},"finis...
F6	400	ROUTING_ERROR	{"error":"No registry endpoints are available for requested model does-not-exist."}
G3	200	PASS	data: {"id":"chatcmpl-BnkYvdR0iGBHrdE2cpjDCMej","object":"chat.completion.chunk","created":1781145522,"model":"moonshot/kimi-k2.6","choices":[{"index":0,"delta":{"role":"assista...

# G1 sequence: A2 (first turn) + B1 (follow-up) ΓÇö see A2 and B1 rows

# Summary: 33 cases, 0 BRIDGE_CRASH, 19 PASS
